"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","scale_index"
"14",2023,"EN","FT","Applied Scientist",213660,"USD",213660,"US",0,"US","L",0.439524353447787
"15",2023,"EN","FT","Applied Scientist",130760,"USD",130760,"US",0,"US","L",0.76982251051672
"40",2023,"EN","FT","Data Quality Analyst",100000,"USD",100000,"NG",100,"NG","L",2.55870831414912
"41",2023,"EN","FT","Compliance Data Analyst",30000,"USD",30000,"NG",100,"NG","L",1.07050839142458
"43",2023,"EN","FT","Applied Scientist",204620,"USD",204620,"US",0,"US","L",1.12928773516095
"44",2023,"EN","FT","Applied Scientist",110680,"USD",110680,"US",0,"US","L",2.71506498688328
"84",2022,"EN","FT","AI Developer",300000,"USD",300000,"IN",50,"IN","L",1.4609162059892
"96",2023,"EN","FT","Machine Learning Engineer",163196,"USD",163196,"US",0,"US","M",-0.265061234606534
"97",2023,"EN","FT","Machine Learning Engineer",145885,"USD",145885,"US",0,"US","M",0.313147148106474
"114",2023,"EN","FT","Research Scientist",220000,"USD",220000,"US",50,"US","L",0.554338029900042
"115",2022,"EN","FT","Machine Learning Engineer",54000,"CHF",56536,"CH",100,"CH","S",2.22408179743946
"138",2023,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M",1.35981382705736
"139",2023,"EN","FT","Data Engineer",65000,"USD",65000,"US",0,"US","M",1.40077145059405
"142",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",0,"US","M",1.11068271594512
"143",2023,"EN","FT","Data Analyst",70000,"USD",70000,"US",0,"US","M",0.444158865245925
"187",2023,"EN","FT","Data Analyst",85000,"USD",85000,"US",100,"US","M",2.78691313680308
"188",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",1.49785047822924
"218",2023,"EN","FT","Data Engineer",1400000,"INR",17022,"IN",100,"IN","L",-0.966617156629638
"251",2023,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M",1.70135590156369
"252",2023,"EN","FT","Data Engineer",65000,"USD",65000,"US",0,"US","M",0.527208592272066
"323",2023,"EN","FT","Data Analyst",55000,"CAD",40663,"CA",0,"CA","L",-0.0678237059868452
"328",2023,"EN","FT","Data Scientist",70000,"CAD",51753,"CA",100,"CA","L",0.782025085341705
"335",2023,"EN","FT","Data Scientist",130001,"USD",130001,"US",100,"US","M",-0.0260044483072397
"336",2023,"EN","FT","Data Scientist",71907,"USD",71907,"US",100,"US","M",0.27110877070886
"341",2023,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M",0.374960732150743
"342",2023,"EN","FT","Data Engineer",65000,"USD",65000,"US",0,"US","M",-0.686693310742413
"349",2023,"EN","FT","Applied Scientist",213660,"USD",213660,"US",0,"US","L",1.83778704449452
"350",2023,"EN","FT","Applied Scientist",130760,"USD",130760,"US",0,"US","L",1.15337311783652
"393",2023,"EN","FT","BI Data Engineer",60000,"USD",60000,"US",100,"US","M",-0.138136937011948
"396",2023,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M",2.25381492106993
"397",2023,"EN","FT","Data Engineer",65000,"USD",65000,"US",0,"US","M",1.42646422147681
"406",2023,"EN","FT","Research Engineer",155000,"USD",155000,"US",0,"US","M",0.704928517007729
"407",2023,"EN","FT","Research Engineer",125000,"USD",125000,"US",0,"US","M",1.89512566104502
"420",2023,"EN","FT","Research Engineer",155000,"USD",155000,"US",0,"US","M",1.87813348753304
"421",2023,"EN","FT","Research Engineer",125000,"USD",125000,"US",0,"US","M",1.82158108163749
"426",2023,"EN","FT","Data Analyst",64200,"USD",64200,"US",100,"US","M",1.68864025410009
"427",2023,"EN","FT","Data Analyst",56100,"USD",56100,"US",100,"US","M",1.55391765353759
"458",2023,"EN","FT","Data Engineer",92700,"USD",92700,"US",100,"US","M",0.938088289423278
"459",2023,"EN","FT","Data Engineer",61800,"USD",61800,"US",100,"US","M",0.694037336260083
"472",2022,"EN","FT","Data Engineer",57000,"EUR",59888,"NL",100,"NL","L",0.619528998987617
"493",2023,"EN","FT","Business Data Analyst",20000,"EUR",21461,"ES",0,"ES","M",0.305293021079487
"516",2023,"EN","FT","Research Engineer",160000,"USD",160000,"US",0,"US","M",0.792082721980401
"517",2023,"EN","FT","Research Engineer",120000,"USD",120000,"US",0,"US","M",-0.265396351568264
"574",2023,"EN","FT","Autonomous Vehicle Technician",7000,"USD",7000,"GH",0,"GH","S",3.16895596533851
"575",2023,"EN","FT","Applied Machine Learning Scientist",40000,"EUR",42923,"DE",50,"DE","M",2.20796199830499
"582",2023,"EN","FT","Data Scientist",190000,"USD",190000,"US",0,"US","M",-0.123108583203349
"583",2023,"EN","FT","Data Scientist",120000,"USD",120000,"US",0,"US","M",0.597115164700924
"592",2023,"EN","FT","Data Scientist",112000,"CHF",121093,"CH",50,"CH","L",0.533344646376781
"598",2023,"EN","FT","Data Analyst",85000,"USD",85000,"US",100,"US","M",1.77996511833632
"599",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",0.916630933528171
"602",2023,"EN","FT","Data Engineer",92700,"USD",92700,"US",100,"US","M",1.25331851399475
"603",2023,"EN","FT","Data Engineer",61800,"USD",61800,"US",100,"US","M",0.971453244651297
"612",2023,"EN","FT","Data Engineer",62000,"USD",62000,"US",100,"US","M",0.957129542708684
"613",2023,"EN","FT","Data Engineer",58000,"USD",58000,"US",100,"US","M",2.36860228401446
"616",2023,"EN","FT","Data Engineer",125000,"USD",125000,"US",0,"US","M",0.774229014340732
"617",2023,"EN","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M",2.51647060442954
"662",2023,"EN","FT","Data Analyst",95000,"USD",95000,"US",100,"US","M",-0.548752804230221
"663",2023,"EN","FT","Data Analyst",70000,"USD",70000,"US",100,"US","M",1.58461374963607
"694",2023,"EN","FT","Data Engineer",115100,"USD",115100,"US",0,"US","M",1.12385424384461
"695",2023,"EN","FT","Data Engineer",73900,"USD",73900,"US",0,"US","M",1.21594156874397
"737",2023,"EN","FT","AI Programmer",70000,"USD",70000,"IN",0,"AU","L",1.37963948275988
"738",2023,"EN","FT","AI Developer",80000,"USD",80000,"SE",50,"SE","M",0.497676546890698
"748",2023,"EN","FT","Research Scientist",150000,"USD",150000,"US",0,"US","M",0.66679261633058
"749",2023,"EN","FT","Research Scientist",100000,"USD",100000,"US",0,"US","M",-0.0185753831070887
"752",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",-0.0717912264755778
"753",2023,"EN","FT","Data Analyst",60000,"USD",60000,"US",100,"US","M",1.30352864140426
"817",2023,"EN","FT","Data Engineer",125000,"USD",125000,"US",0,"US","M",1.44820977862943
"818",2023,"EN","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M",1.0530042267305
"837",2023,"EN","FT","AI Developer",200000,"EUR",214618,"DE",100,"DE","L",1.92226746787974
"858",2023,"EN","FT","Data Analyst",100000,"USD",100000,"UZ",100,"US","L",3.05008468562714
"865",2023,"EN","FT","Data Analyst",150000,"USD",150000,"US",0,"US","M",0.508968833943465
"866",2023,"EN","FT","Data Analyst",100000,"USD",100000,"US",0,"US","M",-1.30916887564081
"885",2023,"EN","FT","Research Scientist",150000,"USD",150000,"US",0,"US","M",2.00573852446226
"886",2023,"EN","FT","Research Scientist",100000,"USD",100000,"US",0,"US","M",0.290799237417607
"937",2023,"EN","FT","Data Analyst",85000,"USD",85000,"US",100,"US","M",0.311991383532642
"938",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",2.0255713696967
"969",2023,"EN","FT","Data Analyst",30000,"USD",30000,"IN",50,"IN","M",0.715226992948991
"972",2022,"EN","PT","Data Analyst",34320,"USD",34320,"US",100,"US","S",-0.220717712254536
"984",2023,"EN","FT","Computer Vision Engineer",220000,"USD",220000,"US",0,"US","M",1.18130347974915
"986",2023,"EN","FT","AI Developer",60000,"EUR",64385,"DE",0,"DE","M",0.861108637560955
"1070",2022,"EN","FT","Data Scientist",168000,"USD",168000,"US",100,"US","M",1.00576418589989
"1111",2023,"EN","FT","Data Analyst",55000,"USD",55000,"US",0,"US","M",1.38528040112633
"1112",2023,"EN","FT","Data Analyst",48000,"USD",48000,"US",0,"US","M",0.629339968207591
"1166",2023,"EN","PT","Data Analyst",78000,"PLN",17779,"PL",100,"IN","L",1.64437654851883
"1167",2023,"EN","FT","Data Scientist",101400,"BRL",19522,"BR",100,"BR","L",0.779513438181249
